task,arm,repeat,stage,submission,event,best_correct_ms,best_program,paired_reference_target_ms,reached_reference,stage_agent_seconds,stage_benchmark_seconds,stage_input_tokens,stage_cached_input_tokens,stage_output_tokens,stage_calls_without_reported_usage,workflow_agent_seconds,workflow_benchmark_seconds,workflow_input_tokens,workflow_cached_input_tokens,workflow_output_tokens,workflow_calls_without_reported_usage
abs,triton,0,generation,1,submission,0.006280000088736415,report/agent-tritonbench/programs/abs/triton/repeat-0/generation-1/candidate.py,0.007015999988652766,True,62.024111645063385,1.203207002952695,128811,93184,2681,0,62.024111645063385,1.203207002952695,128811,93184,2681,0
abs,triton,0,optimization,0,seed,0.006280000088736415,report/agent-tritonbench/programs/abs/triton/repeat-0/generation-1/candidate.py,0.007015999988652766,True,0,0,0,0,0,0,62.024111645063385,1.203207002952695,128811,93184,2681,0
abs,triton,0,optimization,1,submission,0.006128000095486641,report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-1/candidate.py,0.007015999988652766,True,78.02565940190107,1.210750480182469,124100,91136,3604,0,140.04977104696445,2.413957483135164,252911,184320,6285,0
abs,triton,0,optimization,2,submission,0.006128000095486641,report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-1/candidate.py,0.007015999988652766,True,159.0507380811032,2.4311333391815424,255854,191488,6806,0,221.07484972616658,3.6343403421342373,384665,284672,9487,0
abs,triton,0,optimization,3,submission,0.006128000095486641,report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-1/candidate.py,0.007015999988652766,True,240.07684628106654,3.629025248112157,351000,246016,9615,0,302.1009579261299,4.832232251064852,479811,339200,12296,0
abs,triton,0,optimization,4,submission,0.005824000108987093,report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-4/candidate.py,0.007015999988652766,True,309.10031278803945,4.836138127138838,478097,346112,12268,0,371.12442443310283,6.039345130091533,606908,439296,14949,0
abs,triton,0,optimization,5,submission,0.005824000108987093,report/agent-tritonbench/programs/abs/triton/repeat-0/optimization-4/candidate.py,0.007015999988652766,True,507.1565796469804,7.040448500076309,604534,431360,22526,0,569.1806912920438,8.243655503029004,733345,524544,25207,0
abs,intent,0,generation,1,submission,0.005927999969571829,report/agent-tritonbench/programs/abs/intent/repeat-0/generation-1/candidate.py,0.007015999988652766,True,102.03149921493605,2.0399511221330613,229228,181760,4540,0,102.03149921493605,2.0399511221330613,229228,181760,4540,0
abs,intent,0,optimization,0,seed,0.005927999969571829,report/agent-tritonbench/programs/abs/intent/repeat-0/generation-1/candidate.py,0.007015999988652766,True,0,0,0,0,0,0,102.03149921493605,2.0399511221330613,229228,181760,4540,0
abs,intent,0,optimization,1,submission,0.005927999969571829,report/agent-tritonbench/programs/abs/intent/repeat-0/generation-1/candidate.py,0.007015999988652766,True,182.05347446189262,2.422838994069025,293234,249600,8417,0,284.08497367682867,4.462790116202086,522462,431360,12957,0
abs,intent,0,optimization,2,submission,0.0059200001414865255,report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-2/candidate.py,0.007015999988652766,True,331.0980577408336,3.5404192390851676,528339,460544,14641,0,433.12955695576966,5.580370361218229,757567,642304,19181,0
abs,intent,0,optimization,3,submission,0.0059200001414865255,report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-2/candidate.py,0.007015999988652766,True,391.11810728674755,4.762074131052941,641486,555776,17363,0,493.1496065016836,6.802025253186002,870714,737536,21903,0
abs,intent,0,optimization,4,submission,0.0059200001414865255,report/agent-tritonbench/programs/abs/intent/repeat-0/optimization-2/candidate.py,0.007015999988652766,True,483.14635273162276,5.898179491050541,837136,736000,21275,0,585.1778519465588,7.938130613183603,1066364,917760,25815,0
