task,arm,repeat,stage,submission,event,best_correct_ms,best_program,paired_reference_target_ms,reached_reference,stage_agent_seconds,stage_benchmark_seconds,stage_input_tokens,stage_cached_input_tokens,stage_output_tokens,stage_calls_without_reported_usage,workflow_agent_seconds,workflow_benchmark_seconds,workflow_input_tokens,workflow_cached_input_tokens,workflow_output_tokens,workflow_calls_without_reported_usage
abs,triton,0,generation,1,submission,0.007280000019818544,report/agent-tritonbench/expanded/programs/abs/triton/repeat-0/generation-1/candidate.py,0.006776000140234828,False,62.02146546100266,7.450246578082442,97949,80896,2399,0,62.02146546100266,7.450246578082442,97949,80896,2399,0
abs,intent,0,generation,1,submission,,,0.006776000140234828,False,89.03464309405535,3.1487196299713105,294921,239872,3449,0,89.03464309405535,3.1487196299713105,294921,239872,3449,0
abs,intent,0,generation,2,submission,0.005919999908655882,report/agent-tritonbench/expanded/programs/abs/intent/repeat-0/generation-2/candidate.py,0.006776000140234828,True,154.070259478176,13.386209689080715,517181,433664,5807,0,154.070259478176,13.386209689080715,517181,433664,5807,0
asin,triton,0,generation,1,submission,,,0.005904000019654632,False,116.03450567787513,2.8289156858809292,229112,182784,4922,0,116.03450567787513,2.8289156858809292,229112,182784,4922,0
asin,triton,0,generation,2,submission,0.0059200001414865255,report/agent-tritonbench/expanded/programs/asin/triton/repeat-0/generation-2/candidate.py,0.005904000019654632,False,195.070285707945,6.60834348294884,469279,390912,8051,0,195.070285707945,6.60834348294884,469279,390912,8051,0
asin,intent,0,generation,1,submission,,,0.005904000019654632,False,90.04893971793354,3.078319098101929,357496,325632,3002,0,90.04893971793354,3.078319098101929,357496,325632,3002,0
asin,intent,0,generation,2,submission,0.00787200010381639,report/agent-tritonbench/expanded/programs/asin/intent/repeat-0/generation-2/candidate.py,0.005904000019654632,False,309.1246298640035,13.426500075962394,691708,614400,13732,0,309.1246298640035,13.426500075962394,691708,614400,13732,0
cos,triton,0,generation,1,submission,0.007935999892652035,report/agent-tritonbench/expanded/programs/cos/triton/repeat-0/generation-1/candidate.py,0.007951999898068607,True,95.03686649212614,6.9855526480823755,150869,130560,3981,0,95.03686649212614,6.9855526480823755,150869,130560,3981,0
cos,intent,0,generation,1,submission,0.006880000000819564,report/agent-tritonbench/expanded/programs/cos/intent/repeat-0/generation-1/candidate.py,0.007951999898068607,True,87.03666305192746,13.057810191065073,247665,175360,3519,0,87.03666305192746,13.057810191065073,247665,175360,3519,0
exp,triton,0,generation,1,submission,0.005936000030487776,report/agent-tritonbench/expanded/programs/exp/triton/repeat-0/generation-1/candidate.py,0.0070000000996515155,True,58.02721729199402,3.578453873982653,128866,111360,2084,0,58.02721729199402,3.578453873982653,128866,111360,2084,0
exp,intent,0,generation,1,submission,0.00595200015231967,report/agent-tritonbench/expanded/programs/exp/intent/repeat-0/generation-1/candidate.py,0.0070000000996515155,True,81.02826783806086,5.654934853082523,203112,156160,3047,0,81.02826783806086,5.654934853082523,203112,156160,3047,0
floor,triton,0,generation,1,submission,0.007791999960318208,report/agent-tritonbench/expanded/programs/floor/triton/repeat-0/generation-1/candidate.py,0.007823999971151352,True,81.03107264218852,3.8308242240455,143224,115200,3128,0,81.03107264218852,3.8308242240455,143224,115200,3128,0
floor,intent,0,generation,1,submission,0.006679999874904752,report/agent-tritonbench/expanded/programs/floor/intent/repeat-0/generation-1/candidate.py,0.007823999971151352,True,81.0257037000265,6.144574594916776,211440,184576,2979,0,81.0257037000265,6.144574594916776,211440,184576,2979,0
gelu,triton,0,generation,1,submission,0.007808000082150102,report/agent-tritonbench/expanded/programs/gelu/triton/repeat-0/generation-1/candidate.py,0.007031999994069338,False,87.03314152383246,4.244893583934754,126618,91136,3440,0,87.03314152383246,4.244893583934754,126618,91136,3440,0
gelu,intent,0,generation,1,submission,,,0.007031999994069338,False,184.0688391320873,9.258050991920754,480811,418304,8179,0,184.0688391320873,9.258050991920754,480811,418304,8179,0
gelu,intent,0,generation,2,submission,0.006128000095486641,report/agent-tritonbench/expanded/programs/gelu/intent/repeat-0/generation-2/candidate.py,0.007031999994069338,True,272.09946810500696,20.158904429757968,678773,589824,11878,0,272.09946810500696,20.158904429757968,678773,589824,11878,0
leaky_relu,triton,0,generation,1,submission,0.007376000285148621,report/agent-tritonbench/expanded/programs/leaky_relu/triton/repeat-0/generation-1/candidate.py,0.0070599999744445086,False,65.02065504505299,2.9455190550070256,110788,91136,2637,0,65.02065504505299,2.9455190550070256,110788,91136,2637,0
leaky_relu,intent,0,generation,1,submission,0.006136000156402588,report/agent-tritonbench/expanded/programs/leaky_relu/intent/repeat-0/generation-1/candidate.py,0.0070599999744445086,True,97.04665867611766,5.333488611038774,192472,163072,4040,0,97.04665867611766,5.333488611038774,192472,163072,4040,0
log,triton,0,generation,1,submission,0.007791999960318208,report/agent-tritonbench/expanded/programs/log/triton/repeat-0/generation-1/candidate.py,0.007883999962359667,True,61.0238573460374,3.8813542989082634,129659,111360,2238,0,61.0238573460374,3.8813542989082634,129659,111360,2238,0
log,intent,0,generation,1,submission,0.006000000052154064,report/agent-tritonbench/expanded/programs/log/intent/repeat-0/generation-1/candidate.py,0.007883999962359667,True,81.05025858688168,9.306521147023886,211937,184576,2617,0,81.05025858688168,9.306521147023886,211937,184576,2617,0
log1p,triton,0,generation,1,submission,0.006864000111818314,report/agent-tritonbench/expanded/programs/log1p/triton/repeat-0/generation-1/candidate.py,0.007015999988652766,True,147.04016977502033,3.177294568857178,188172,140032,6744,0,147.04016977502033,3.177294568857178,188172,140032,6744,0
log1p,intent,0,generation,1,submission,,,0.007015999988652766,False,81.04829837195575,1.92146998597309,183369,137984,3087,0,81.04829837195575,1.92146998597309,183369,137984,3087,0
log1p,intent,0,generation,2,submission,0.006864000111818314,report/agent-tritonbench/expanded/programs/log1p/intent/repeat-0/generation-2/candidate.py,0.007015999988652766,True,282.11604199395515,31.524196113925427,594644,489984,11554,0,282.11604199395515,31.524196113925427,594644,489984,11554,0
mul,triton,0,generation,1,submission,0.007599999895319343,report/agent-tritonbench/expanded/programs/mul/triton/repeat-0/generation-1/candidate.py,0.006856000050902367,False,61.031434452859685,3.747802582103759,128053,109312,2309,0,61.031434452859685,3.747802582103759,128053,109312,2309,0
mul,intent,0,generation,1,submission,0.006272000027820468,report/agent-tritonbench/expanded/programs/mul/intent/repeat-0/generation-1/candidate.py,0.006856000050902367,True,55.023867120966315,5.030943565070629,95058,61696,2051,0,55.023867120966315,5.030943565070629,95058,61696,2051,0
relu,triton,0,generation,1,submission,0.0059200001414865255,report/agent-tritonbench/expanded/programs/relu/triton/repeat-0/generation-1/candidate.py,0.007544000050984323,True,71.02763781114481,2.9751506538596004,108959,74752,2774,0,71.02763781114481,2.9751506538596004,108959,74752,2774,0
relu,intent,0,generation,1,submission,0.006751999957486987,report/agent-tritonbench/expanded/programs/relu/intent/repeat-0/generation-1/candidate.py,0.007544000050984323,True,117.03686396405101,5.187492540106177,261391,229376,5175,0,117.03686396405101,5.187492540106177,261391,229376,5175,0
rsqrt,triton,0,generation,1,submission,0.005888000130653381,report/agent-tritonbench/expanded/programs/rsqrt/triton/repeat-0/generation-1/candidate.py,,False,62.06241433694959,3.474856834160164,116429,82944,2155,0,62.06241433694959,3.474856834160164,116429,82944,2155,0
rsqrt,triton,0,generation,2,submission,0.005888000130653381,report/agent-tritonbench/expanded/programs/rsqrt/triton/repeat-0/generation-1/candidate.py,,False,143.0879131341353,6.648455813061446,242938,192256,5284,0,143.0879131341353,6.648455813061446,242938,192256,5284,0
rsqrt,triton,0,generation,3,submission,0.005888000130653381,report/agent-tritonbench/expanded/programs/rsqrt/triton/repeat-0/generation-1/candidate.py,,False,284.14290951006114,10.075562937185168,462435,366848,11558,0,284.14290951006114,10.075562937185168,462435,366848,11558,0
rsqrt,triton,0,generation,4,submission,0.005888000130653381,report/agent-tritonbench/expanded/programs/rsqrt/triton/repeat-0/generation-1/candidate.py,,False,369.17000260506757,11.79628147603944,596676,483328,15691,0,369.17000260506757,11.79628147603944,596676,483328,15691,0
