task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
abs,0,pass,pass,0.007280000019818544,0.005919999908655882,0.8131867984257835,not_run,not_run,,,,,
abs,1,not_run,not_run,,,,not_run,not_run,,,,,
abs,2,not_run,not_run,,,,not_run,not_run,,,,,
asin,0,pass,pass,0.0059200001414865255,0.00787200010381639,1.329729715486073,not_run,not_run,,,,,
asin,1,not_run,not_run,,,,not_run,not_run,,,,,
asin,2,not_run,not_run,,,,not_run,not_run,,,,,
cos,0,pass,pass,0.007935999892652035,0.006880000000819564,0.8669354957010239,not_run,not_run,,,,,
cos,1,not_run,not_run,,,,not_run,not_run,,,,,
cos,2,not_run,not_run,,,,not_run,not_run,,,,,
exp,0,pass,pass,0.005936000030487776,0.00595200015231967,1.0026954383001543,not_run,not_run,,,,,
exp,1,not_run,not_run,,,,not_run,not_run,,,,,
exp,2,not_run,not_run,,,,not_run,not_run,,,,,
floor,0,pass,pass,0.007791999960318208,0.006679999874904752,0.8572895160322813,not_run,not_run,,,,,
floor,1,not_run,not_run,,,,not_run,not_run,,,,,
floor,2,not_run,not_run,,,,not_run,not_run,,,,,
gelu,0,pass,pass,0.007808000082150102,0.006128000095486641,0.7848360695456299,not_run,not_run,,,,,
gelu,1,not_run,not_run,,,,not_run,not_run,,,,,
gelu,2,not_run,not_run,,,,not_run,not_run,,,,,
leaky_relu,0,pass,pass,0.007376000285148621,0.006136000156402588,0.8318871907797049,not_run,not_run,,,,,
leaky_relu,1,not_run,not_run,,,,not_run,not_run,,,,,
leaky_relu,2,not_run,not_run,,,,not_run,not_run,,,,,
log,0,pass,pass,0.007791999960318208,0.006000000052154064,0.7700205444956185,not_run,not_run,,,,,
log,1,not_run,not_run,,,,not_run,not_run,,,,,
log,2,not_run,not_run,,,,not_run,not_run,,,,,
log1p,0,pass,pass,0.006864000111818314,0.006864000111818314,1.0,not_run,not_run,,,,,
log1p,1,not_run,not_run,,,,not_run,not_run,,,,,
log1p,2,not_run,not_run,,,,not_run,not_run,,,,,
