task,arm,repeat,first_correct,budget_correct,generation_evaluation_repaired,generation_status,seed_ms,static_intent_ms,optimization_status,optimized_ms,optimized_best_stage,seed_ratio,optimized_ratio,paired_reference_target_ms,generation_first_reference_checkpoint,optimization_first_reference_checkpoint,generation_agent_seconds,generation_benchmark_seconds,generation_input_tokens,generation_cached_input_tokens,generation_output_tokens,generation_calls_without_reported_usage,optimization_agent_seconds,optimization_benchmark_seconds,optimization_input_tokens,optimization_cached_input_tokens,optimization_output_tokens,optimization_calls_without_reported_usage
abs,triton,0,True,True,False,pass,0.007280000019818544,,not_run,,,0.9827213765872823,,0.006776000140234828,,,62.02146546100266,7.450246578082442,97949,80896,2399,0,0,0,0,0,0,0
abs,intent,0,False,True,False,pass,0.005919999908655882,0.005919999908655882,not_run,,,0.9635416177181688,,0.006776000140234828,2,,154.070259478176,13.386209689080715,517181,433664,5807,0,0,0,0,0,0,0
abs,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
abs,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
abs,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
abs,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,triton,0,False,True,False,pass,0.0059200001414865255,,not_run,,,1.0000000393295012,,0.005904000019654632,,,195.070285707945,6.60834348294884,469279,390912,8051,0,0,0,0,0,0,0
asin,intent,0,False,True,False,pass,0.00787200010381639,0.00787200010381639,not_run,,,1.336956509704229,,0.005904000019654632,,,309.1246298640035,13.426500075962394,691708,614400,13732,0,0,0,0,0,0,0
asin,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,triton,0,True,True,False,pass,0.007935999892652035,,not_run,,,0.9959839343347447,,0.007951999898068607,1,,95.03686649212614,6.9855526480823755,150869,130560,3981,0,0,0,0,0,0,0
cos,intent,0,True,True,False,pass,0.006880000000819564,0.006880000000819564,not_run,,,0.8669354957010239,,0.007951999898068607,1,,87.03666305192746,13.057810191065073,247665,175360,3519,0,0,0,0,0,0,0
cos,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,triton,0,True,True,False,pass,0.005936000030487776,,not_run,,,0.834645657433583,,0.0070000000996515155,1,,58.02721729199402,3.578453873982653,128866,111360,2084,0,0,0,0,0,0,0
exp,intent,0,True,True,False,pass,0.00595200015231967,0.00595200015231967,not_run,,,0.8641115126267863,,0.0070000000996515155,1,,81.02826783806086,5.654934853082523,203112,156160,3047,0,0,0,0,0,0,0
exp,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,triton,0,True,True,False,pass,0.007791999960318208,,not_run,,,0.9959100190502128,,0.007823999971151352,1,,81.03107264218852,3.8308242240455,143224,115200,3128,0,0,0,0,0,0,0
floor,intent,0,True,True,False,pass,0.006679999874904752,0.006679999874904752,not_run,,,0.8537832182432571,,0.007823999971151352,1,,81.0257037000265,6.144574594916776,211440,184576,2979,0,0,0,0,0,0,0
floor,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,triton,0,True,True,False,pass,0.007808000082150102,,not_run,,,0.9979550244043655,,0.007031999994069338,,,87.03314152383246,4.244893583934754,126618,91136,3440,0,0,0,0,0,0,0
gelu,intent,0,False,True,False,pass,0.006128000095486641,0.006128000095486641,not_run,,,0.9820512946801631,,0.007031999994069338,2,,272.09946810500696,20.158904429757968,678773,589824,11878,0,0,0,0,0,0,0
gelu,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,triton,0,True,True,False,pass,0.007376000285148621,,not_run,,,0.9322548456185978,,0.0070599999744445086,,,65.02065504505299,2.9455190550070256,110788,91136,2637,0,0,0,0,0,0,0
leaky_relu,intent,0,True,True,False,pass,0.006136000156402588,0.006136000156402588,not_run,,,0.9884020860695528,,0.0070599999744445086,1,,97.04665867611766,5.333488611038774,192472,163072,4040,0,0,0,0,0,0,0
leaky_relu,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log,triton,0,True,True,False,pass,0.007791999960318208,,not_run,,,0.9948927385616299,,0.007883999962359667,1,,61.0238573460374,3.8813542989082634,129659,111360,2238,0,0,0,0,0,0,0
log,intent,0,True,True,False,pass,0.006000000052154064,0.006000000052154064,not_run,,,0.7560484038954539,,0.007883999962359667,1,,81.05025858688168,9.306521147023886,211937,184576,2617,0,0,0,0,0,0,0
log,triton,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log,intent,1,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log,triton,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log,intent,2,False,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
log1p,triton,0,True,True,False,pass,0.006864000111818314,,not_run,,,0.9597315624140762,,0.007015999988652766,1,,147.04016977502033,3.177294568857178,188172,140032,6744,0,0,0,0,0,0,0
log1p,intent,0,False,True,False,pass,0.006864000111818314,0.006864000111818314,not_run,,,0.9976744347384674,,0.007015999988652766,2,,282.11604199395515,31.524196113925427,594644,489984,11554,0,0,0,0,0,0,0
