task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
abs,0,pass,pass,0.007280000019818544,0.006200000178068876,0.8516483737898963,not_run,not_run,,,,,
abs,1,not_run,not_run,,,,not_run,not_run,,,,,
abs,2,not_run,not_run,,,,not_run,not_run,,,,,
asin,0,pass,pass,0.0059200001414865255,0.006784000201150775,1.1459459525362945,candidate_budget,candidate_budget,0.005792000098153949,0.0057840002700686455,0.9986188142351978,1.0220994546207576,1.1728907130687705
asin,1,not_run,not_run,,,,not_run,not_run,,,,,
asin,2,not_run,not_run,,,,not_run,not_run,,,,,
cos,0,pass,pass,0.007935999892652035,0.006407999899238348,0.8074596756448464,candidate_budget,in_progress,0.006991999922320247,0.006407999899238348,0.9164759683109233,1.1350114389043826,1.0
cos,1,not_run,not_run,,,,not_run,not_run,,,,,
cos,2,not_run,not_run,,,,not_run,not_run,,,,,
exp,0,pass,pass,0.005936000030487776,0.00595200015231967,1.0026954383001543,in_progress,in_progress,0.005904000019654632,0.00595200015231967,1.008130103744113,1.0054200560173805,1.0
exp,1,not_run,not_run,,,,not_run,not_run,,,,,
exp,2,not_run,not_run,,,,not_run,not_run,,,,,
floor,0,pass,pass,0.007791999960318208,0.006192000117152929,0.7946612100470367,not_run,not_run,,,,,
floor,1,not_run,not_run,,,,not_run,not_run,,,,,
floor,2,not_run,not_run,,,,not_run,not_run,,,,,
gelu,0,pass,pass,0.007808000082150102,0.006800000090152025,0.8709016417273779,not_run,not_run,,,,,
gelu,1,not_run,not_run,,,,not_run,not_run,,,,,
gelu,2,not_run,not_run,,,,not_run,not_run,,,,,
leaky_relu,0,pass,pass,0.007376000285148621,0.006880000000819564,0.9327548447459065,not_run,not_run,,,,,
leaky_relu,1,not_run,not_run,,,,not_run,not_run,,,,,
leaky_relu,2,not_run,not_run,,,,not_run,not_run,,,,,
log,0,pass,pass,0.007791999960318208,0.006144000217318535,0.788501058599547,not_run,not_run,,,,,
log,1,not_run,not_run,,,,not_run,not_run,,,,,
log,2,not_run,not_run,,,,not_run,not_run,,,,,
log1p,0,pass,pass,0.006864000111818314,0.007984000025317073,1.1631701479098702,candidate_budget,candidate_budget,0.005927999969571829,0.005888000130653381,0.9932523888117806,1.1578947616482682,1.355978235080491
log1p,1,not_run,not_run,,,,not_run,not_run,,,,,
log1p,2,not_run,not_run,,,,not_run,not_run,,,,,
mul,0,pass,pass,0.007599999895319343,0.006880000000819564,0.9052631704714615,not_run,not_run,,,,,
mul,1,not_run,not_run,,,,not_run,not_run,,,,,
mul,2,not_run,not_run,,,,not_run,not_run,,,,,
