task,arm,repeat,first_correct,budget_correct,generation_status,seed_ms,static_intent_ms,optimization_status,optimized_ms,optimized_best_stage,seed_ratio,optimized_ratio,paired_reference_target_ms,generation_first_reference_checkpoint,optimization_first_reference_checkpoint,generation_agent_seconds,generation_benchmark_seconds,generation_input_tokens,generation_cached_input_tokens,generation_output_tokens,generation_calls_without_reported_usage,optimization_agent_seconds,optimization_benchmark_seconds,optimization_input_tokens,optimization_cached_input_tokens,optimization_output_tokens,optimization_calls_without_reported_usage
abs,triton,0,True,True,pass,0.006280000088736415,,candidate_budget,0.005824000108987093,optimization,0.8026585010086947,0.7861770891324259,0.007015999988652766,1,0,62.024111645063385,1.203207002952695,128811,93184,2681,0,507.1565796469804,7.040448500076309,604534,431360,22526,0
abs,intent,0,True,True,pass,0.005927999969571829,0.005927999969571829,candidate_budget,0.0059200001414865255,optimization,0.9548969013684313,0.8305275139478718,0.007015999988652766,1,0,102.03149921493605,2.0399511221330613,229228,181760,4540,0,587.1815740687307,7.047101726057008,982677,841472,25738,0
abs,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
abs,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
abs,triton,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
abs,intent,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,triton,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,intent,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,triton,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
asin,intent,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,triton,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,intent,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,triton,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
cos,intent,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,triton,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,intent,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,triton,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
exp,intent,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,triton,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,intent,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,triton,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
floor,intent,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,triton,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,intent,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,triton,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
gelu,intent,2,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,triton,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,intent,0,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,triton,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
leaky_relu,intent,1,False,False,not_run,,,not_run,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
