kernel,case,generated_p50_ms,source_p50_ms,ratio,status
official_fmha,B4-QH32-KVH8-S4096-D128-fp16-causal,5.257248,27.021313,0.194559,pass
block_scaled_gemm,M4096-N14336-K4096-fp8-block32,2.163248,6.910464,0.313039,pass
dense_gemm,M4096-N14336-K4096-fp16,2.052960,2.442240,0.840605,pass
moe_expert_projection,T4096-E8-top2-4096x14336-bf16,4.830800,6.199280,0.779252,pass
layer_norm,8192x4096-bf16,0.101744,0.266240,0.382151,pass
silu_and_mul,4096x28672-to14336-bf16,0.224768,0.243776,0.922027,pass
attention_backward,B2-QH8-KVH2-S1024-D64-fp16-causal,0.119344,0.170880,0.698408,pass
dense_attention_forward,B2-QH32-KVH8-S4096-D128-bf16-causal,2.941328,1.272032,2.312307,pass
grouped_flash_decode,B8-QH32-KVH8-S8192-D128-bf16,0.173104,0.166944,1.036899,pass
swiglu,8192x14336-bf16,0.449136,0.464896,0.966100,pass
splitk_attention_reduce,B8-H32-S8192-splits16-D128,0.005632,0.006144,0.916667,pass
mla_prefill,B1-QH128-KVH1-S2048-D128-R64-fp16,1.964576,0.934912,2.101349,pass
batched_gemm,B32-M512-N512-K1024-bf16,0.095776,0.092192,1.038875,pass
tilegym_dense_gemm,M8192-N11008-K4096-bf16,3.059680,3.266560,0.936667,pass
grouped_gemm,rows256-512-1024-2048-K4096-N4096-bf16,1.591792,0.634560,2.508497,pass
moe_alignment,T4096-top2-E64,0.068832,0.074768,0.920608,pass
mhc_gemm_rms_scale,T2048-H4096-streams4-bf16,0.161440,0.049056,3.290933,pass
chunked_softmax,8192x32768-bf16,0.724480,0.851952,0.850377,pass
rope_qk,B2-S4096-QH32-KVH8-D128-bf16,0.060800,0.067552,0.900047,pass
gelu,8192x4096-fp16-tanh,0.087584,0.088064,0.994549,pass
geglu,4096x28672-fp16-tanh,0.226784,0.225280,1.006676,pass
relu,8192x4096-fp16,0.087584,0.088064,0.994549,pass
dropout,8192x4096-fp16-p0.1,0.087552,0.088064,0.994186,pass
attention_sink_prefill,B1-S4096-QH32-KVH8-D128-bf16,1.466320,0.799968,1.832973,pass
attention_sink_decode,B32-S8192-QH32-KVH8-D128-bf16,0.617904,2.060304,0.299909,pass
mhc_apply_residual,T2048-H4096-streams4-bf16,0.118256,0.108544,1.089475,pass
gemma_prefill,B2-S4096-QH32-KVH8-D128-window1024-cap50-bf16,4.964912,6.766400,0.733760,pass
gemma_decode,B32-S8192-QH32-KVH8-D128-window1024-cap50-bf16,0.792752,0.649344,1.220851,pass
mhc_sinkhorn,T8192-streams4-fp32,0.031488,0.029648,1.062062,pass
absorbed_mla_decode,B8-H64-S8192-C512-R64-fp16,7.271488,2.073568,3.506752,pass
splitk_mla_decode,B8-H64-S8192-C512-R64-split512-fp16,3.150720,0.320944,9.817039,pass
sparse_mla_prefill,S2048-SKV4096-H64-topk512-D128-R64-bf16,,,,provider_jit_or_initial_launch_failed
sliding_window_attention,B2-S4096-QH32-KVH8-D128-window1024-fp16,4.034912,0.839440,4.806671,pass
rms_norm,8192x4096-bf16,0.089664,0.086736,1.033758,pass
recurrent_gated_delta,B2-S2048-H8-K128-V128-bf16,0.789584,0.761456,1.036940,pass
chunk_gated_delta,B2-S2048-H8-K128-V128-C64-bf16,,,,physical_program_failed
nvfp4_quantize,8192x4096-block32-bf16,,,,intent_implementation_gap
