kernel,case,generated_p50_ms,source_p50_ms,ratio,status
official_fmha,B4-QH32-KVH8-S4096-D128-fp16-causal,3.357760,2.502560,1.341730,pass
block_scaled_gemm,M4096-N14336-K4096-fp8-block32,,,,provider_jit_or_initial_launch_failed
dense_gemm,M4096-N14336-K4096-fp16,1.246432,13.248159,0.094083,pass
moe_expert_projection,T4096-E8-top2-4096x14336-bf16,4.299616,2.878208,1.493852,pass
layer_norm,8192x4096-bf16,0.060688,0.441152,0.137567,pass
silu_and_mul,4096x28672-to14336-bf16,0.131248,0.134640,0.974807,pass
attention_backward,B2-QH8-KVH2-S1024-D64-fp16-causal,0.136544,0.077904,1.752721,pass
dense_attention_forward,B2-QH32-KVH8-S4096-D128-bf16-causal,1.684560,1.339120,1.257960,pass
grouped_flash_decode,B8-QH32-KVH8-S8192-D128-bf16,0.254288,0.099216,2.562974,pass
swiglu,8192x14336-bf16,0.271584,0.244704,1.109847,pass
splitk_attention_reduce,B8-H32-S8192-splits16-D128,0.006016,0.006064,0.992084,pass
mla_prefill,B1-QH128-KVH1-S2048-D128-R64-fp16,1.071552,0.540912,1.981010,pass
batched_gemm,B32-M512-N512-K1024-bf16,0.045824,0.053952,0.849348,pass
tilegym_dense_gemm,M8192-N11008-K4096-bf16,2.067968,2.349488,0.880178,pass
grouped_gemm,rows256-512-1024-2048-K4096-N4096-bf16,2.624896,0.471392,5.568393,pass
moe_alignment,T4096-top2-E64,0.060864,0.074032,0.822131,pass
mhc_gemm_rms_scale,T2048-H4096-streams4-bf16,0.093728,0.046112,2.032616,pass
chunked_softmax,8192x32768-bf16,0.998336,0.827376,1.206629,pass
rope_qk,B2-S4096-QH32-KVH8-D128-bf16,0.072064,0.061024,1.180912,pass
gelu,8192x4096-fp16-tanh,0.053376,0.049616,1.075782,pass
geglu,4096x28672-fp16-tanh,0.137584,0.213840,0.643397,pass
relu,8192x4096-fp16,0.050224,0.049872,1.007058,pass
dropout,8192x4096-fp16-p0.1,0.049856,0.049648,1.004189,pass
attention_sink_prefill,B1-S4096-QH32-KVH8-D128-bf16,0.829968,0.587936,1.411664,pass
attention_sink_decode,B32-S8192-QH32-KVH8-D128-bf16,1.296768,2.076464,0.624508,pass
mhc_apply_residual,T2048-H4096-streams4-bf16,0.078544,0.057584,1.363990,pass
gemma_prefill,B2-S4096-QH32-KVH8-D128-window1024-cap50-bf16,3.256896,0.668512,4.871859,pass
gemma_decode,B32-S8192-QH32-KVH8-D128-window1024-cap50-bf16,1.464304,0.369552,3.962376,pass
mhc_sinkhorn,T8192-streams4-fp32,0.054816,0.031040,1.765979,pass
absorbed_mla_decode,B8-H64-S8192-C512-R64-fp16,7.029232,0.267392,26.288118,pass
splitk_mla_decode,B8-H64-S8192-C512-R64-split512-fp16,15.201968,0.117712,129.145435,pass
sparse_mla_prefill,S2048-SKV4096-H64-topk512-D128-R64-bf16,,,,provider_jit_or_initial_launch_failed
sliding_window_attention,B2-S4096-QH32-KVH8-D128-window1024-fp16,1.643024,0.728512,2.255315,pass
rms_norm,8192x4096-bf16,0.055264,0.050864,1.086505,pass
recurrent_gated_delta,B2-S2048-H8-K128-V128-bf16,1.019760,0.994016,1.025899,pass
chunk_gated_delta,B2-S2048-H8-K128-V128-C64-bf16,13.946367,0.649568,21.470218,pass
nvfp4_quantize,8192x4096-block32-bf16,,,,intent_implementation_gap
