kernel,case,generated_p50_ms,source_p50_ms,ratio,status
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks128,,,,provider_jit_or_initial_launch_failed
dense_flash_attention,B4-S4096-H32-D128-fp16-causal,4.515552,3.539776,1.275660,pass
varlen_gqa_prefill,packed8-QH32-KVH8-D128-fp16-causal,11.950512,4.770880,2.504886,pass
gqa_decode,B32-QH32-KVH8-S8192-D128-fp16,,,,provider_jit_or_initial_launch_failed
varlen_gqa_decode_logits,B16-QH32-KVH8-S4096-D64-fp16,,,,physical_program_failed
paged_mla_decode,B32-QH128-KVH1-S8192-V128-R64-page64-fp16,,,,provider_program_failed
persistent_mla_decode,B8-H64-S16384-C128-R64-split4-fp16,,,,intent_implementation_gap
conv2d,NHWC32x128x128x256-K3x3x256x512-fp16,,,,physical_program_failed
dense_gemm,M4096-N14336-K4096-fp16,1.446144,2.147808,0.673312,pass
w4a8_gemm,M4096-N14336-K4096-int8-int4,1.414192,1.716544,0.823860,pass
fp8_gemm,M4096-N14336-K4096-e4m3,0.879792,1.151920,0.763761,pass
grouped_gemm,rows256-512-1024-2048-K4096-N4096-fp16,0.606128,0.656080,0.923863,pass
sparse_2to4_gemm,M8192-N14336-K8192-fp16,5.837120,5.821200,1.002735,pass
deepgemm_fp8_2xacc,M4096-N4096-K4096-e4m3-bf16,,,,provider_program_failed
online_softmax,8192x8192-fp16,0.128864,0.094192,1.368099,pass
deepseek_topk_selector,B32-S32768-topk2048-fp32,,,,intent_implementation_gap
rms_norm,8192x4096-fp32,0.092928,0.093776,0.990957,pass
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-fp16,0.039392,0.027296,1.443142,pass
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-fp16,0.028096,0.017200,1.633488,pass
linear_attention_forward,B1-S2048-H16-D128-fp16,,,,physical_program_failed
linear_attention_backward,B1-S2048-H16-D128-fp16,,,,intent_implementation_gap
retention_forward,B1-S2048-H16-D128-fp16,,,,physical_program_failed
mhc_pre,T2048-H4096-streams4-bf16,,,,worker_timeout
block_causal_attention,B2-S4096-H16-D128-block64-fp16,1.856688,0.351712,5.279001,pass
varlen_block_causal_attention,lengths4096-3840-3584-3328-H16-D128-fp16,,,,physical_program_failed
native_sparse_attention_forward,B2-S4096-QH32-KVH4-D128-blocks64,,,,provider_program_failed
native_sparse_attention_decode,B8-S8192-QH32-KVH2-D128-blocks32,,,,provider_program_failed
gqa_attention_backward,B1-S4096-QH32-KVH8-D64-fp16-causal,2.057472,1.027744,2.001930,pass
sparse_mla_backward,B1-S4096-SKV8192-H64-D576-topk2048-bf16,,,,intent_implementation_gap
fp8_lighting_indexer,S4096-SKV8192-H32-D64-fp8,,,,provider_program_failed
per_token_fp8,8192x8192-group128-f32-e4m3,0.320560,0.127648,2.511281,pass
block_sparse_gemm,M4096-N4096-K4096-block128x128x32-50pct,0.322240,0.327696,0.983350,pass
grouped_gemm_backward,rows256-512-1024-2048-K4096-N4096-fp16,,,,provider_program_failed
bitnet_int2_decode,M1-N4096-K4096-int8-int2,,,,intent_implementation_gap
dequant_bf16_fp4,M4096-N4096-K4096-bf16-fp4,,,,intent_implementation_gap
block_fp4_quant,8192x4096-block32-bf16,,,,intent_implementation_gap
mhc_post,T4096-H2560-streams4-bf16,0.203536,0.069152,2.943313,pass
