kernel,case,generated_p50_ms,source_p50_ms,ratio,status
fused_softmax,8192x8192-fp16,0.173520,0.187488,0.925499,pass
dense_gemm,M4096-N14336-K4096-fp16,2.075136,2.075632,0.999761,pass
grouped_gemm,E8-M1024-K4096-N14336-fp16,4.762240,4.658720,1.022221,pass
flash_attention_forward,B4-H32-S4096-D128-fp16-causal,6.355456,2.755584,2.306392,pass
layer_norm,8192x4096-fp16,0.085536,0.090112,0.949219,pass
flash_cross_entropy,8192x32768-bf16,0.319152,0.318656,1.001557,pass
flash_layer_norm,8192x4096-bf16,0.086896,0.086128,1.008917,pass
rotary_embedding,B4-S4096-H32-D128-bf16,0.182832,0.180224,1.014471,pass
swiglu,8192x14336-bf16,0.448032,0.451584,0.992134,pass
embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.170960,0.174080,0.982077,pass
cross_entropy,8192x32768-bf16,0.686800,0.686912,0.999837,pass
padded_rope_cache_update,B32-QH32-KVH8-D128-cache8192-fp16,0.053824,0.030464,1.766807,pass
fused_add_rms_norm,8192x4096-bf16,0.173600,0.176128,0.985647,pass
rms_norm,8192x4096-bf16,0.086704,0.086016,1.007999,pass
xformers_rms_norm,8192x4096-bf16,0.079392,0.086016,0.922991,pass
qkv_projection_pipeline,M4096-K4096-QKV4096-fp16,1.934480,1.824784,1.060114,pass
index_select,source65536-selected32768-hidden4096-fp16,0.349760,0.366592,0.954085,pass
scaled_index_add,destination65536-routed32768-hidden4096-fp16,0.518144,0.526816,0.983539,pass
scaled_fp8_splitk_gemm,M4096-N14336-K4096-e4m3-split4,4.292640,2.514672,1.707038,pass
jagged_mean,B512-T33024-D128-fp32,0.017920,0.018432,0.972222,pass
fp8_groupwise_quantize,8192x4096-group128-bf16-e4m3,0.124432,0.124928,0.996030,pass
rope_qk,B4-S4096-QH32-KVH8-D128-fp16,0.202784,0.440864,0.459970,pass
causal_conv1d,B4-C4096-S4096-W4-bf16-silu,0.187904,0.192512,0.976064,pass
varlen_causal_conv1d,lengths2048-1536-1024-512-D4096-W4-bf16,0.073536,0.092368,0.796120,pass
causal_conv1d_update,B32-D4096-W4-bf16,0.043344,0.053600,0.808657,pass
modern_flash_attention_forward,B2-H16-S2048-D128-fp16-causal,,,,adapter_preparation_failed
mamba3_siso_step,B32-HQK4-H16-DQK32-DV64-bf16,0.097536,0.095216,1.024366,pass
flash_attention_backward,B2-H16-S2048-D128-fp16-causal,,,,adapter_preparation_failed
moe_expert_projection,T2048-E8-top2-4096x14336-bf16,2.493968,2.444448,1.020258,pass
moe_splitk_expert_projection,T2048-E8-top2-4096x14336-bf16,2.469824,3.420992,0.721961,pass
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-bf16,0.020000,0.014336,1.395089,pass
mamba_state_passing,B1-C8-H32-state8192-fp32,0.011808,0.012288,0.960937,pass
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-bf16,0.036352,0.047104,0.771739,pass
mamba3_siso_forward,B1-S2048-HQK4-H16-DQK32-DV64-bf16,0.338736,0.169632,1.996887,pass
paged_gqa_decode,B16-QH32-KVH8-S8192-D128-page16-fp16,0.518000,0.373408,1.387223,pass
splitk_paged_attention,B16-QH32-KVH8-S8192-D128-page16-split8-fp16,0.476896,0.422016,1.130042,pass
paged_mla_decode,B8-QH128-KVH1-S8192-C512-R64-page16-fp16,5.439248,0.358560,15.169701,pass
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks32x128,,,,provider_jit_or_initial_launch_failed
flaggems_conv1d,B64-L16384-K5-fp16-same,0.034304,0.057344,0.598214,pass
flaggems_triangular_solve,B4096-N16-fp32-lower,0.031744,0.037888,0.837838,pass
flaggems_embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.171520,0.174112,0.985113,pass
flaggems_roll,8192x4096-fp16-shift-1-axis0,0.093696,0.088064,1.063953,pass
flaggems_transpose_copy,4093x8191-fp16,0.101920,0.310272,0.328486,pass
flaggems_batch_norm_training,B32-C64-S4096-fp16,0.058432,0.039616,1.474960,pass
flaggems_group_norm_backward,B32-C256-S1024-G32-fp16,0.048544,0.055296,0.877894,pass
flaggems_logsumexp,8192x8192-fp32,0.175648,0.176704,0.994024,pass
flaggems_softmax_backward,4096x4097-fp32,0.126496,0.159744,0.791867,pass
flaggems_fused_adamw,N8388608-fp32,0.114864,0.114720,1.001255,pass
flaggems_addcmul,B64-C128-L4096-bf16,0.087584,0.086624,1.011082,pass
flaggems_fp8_mqa_logits,Q256-K4096-H32-D128-e4m3,0.036384,0.088064,0.413154,pass
flaggems_cumsum,8192x8192-fp32-axis1,0.353792,0.352256,1.004360,pass
flaggems_histogram,N8388608-bins256-fp32,1.541120,1.272864,1.210750,pass
flaggems_max_pool2d_with_indices,B8-C32-H128-W128-K3-S2-P1-fp16,0.032288,0.020480,1.576563,pass
legacy_flash_attention_bias,B4-H32-S4096-D128-fp16-vector-bias,,,,source_compatibility_gap
