kernel,case,generated_p50_ms,source_p50_ms,ratio,status
fused_softmax,8192x8192-fp16,0.093824,0.102272,0.917397,pass
dense_gemm,M4096-N14336-K4096-fp16,1.285808,1.311024,0.980766,pass
grouped_gemm,E8-M1024-K4096-N14336-fp16,3.883456,4.632368,0.838331,pass
flash_attention_forward,B4-H32-S4096-D128-fp16-causal,1.963136,1.772816,1.107355,pass
layer_norm,8192x4096-fp16,0.050480,0.055584,0.908175,pass
flash_cross_entropy,8192x32768-bf16,0.216528,0.223616,0.968303,pass
flash_layer_norm,8192x4096-bf16,0.051264,0.051200,1.001250,pass
rotary_embedding,B4-S4096-H32-D128-bf16,0.096608,0.097376,0.992113,pass
swiglu,8192x14336-bf16,0.233728,0.238464,0.980140,pass
embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.089824,0.089696,1.001427,pass
cross_entropy,8192x32768-bf16,0.622704,0.730432,0.852515,pass
padded_rope_cache_update,B32-QH32-KVH8-D128-cache8192-fp16,0.037344,0.030816,1.211838,pass
fused_add_rms_norm,8192x4096-bf16,0.093808,0.094144,0.996431,pass
rms_norm,8192x4096-bf16,0.050400,0.050272,1.002546,pass
xformers_rms_norm,8192x4096-bf16,0.050224,0.049632,1.011928,pass
qkv_projection_pipeline,M4096-K4096-QKV4096-fp16,1.115584,1.245920,0.895390,pass
index_select,source65536-selected32768-hidden4096-fp16,0.183200,0.219408,0.834974,pass
scaled_index_add,destination65536-routed32768-hidden4096-fp16,0.297008,0.301616,0.984722,pass
scaled_fp8_splitk_gemm,M4096-N14336-K4096-e4m3-split4,3.168048,3.418352,0.926776,pass
jagged_mean,B512-T33024-D128-fp32,0.014400,0.015488,0.929752,pass
fp8_groupwise_quantize,8192x4096-group128-bf16-e4m3,0.162848,0.162752,1.000590,pass
rope_qk,B4-S4096-QH32-KVH8-D128-fp16,0.120256,0.399424,0.301074,pass
causal_conv1d,B4-C4096-S4096-W4-bf16-silu,0.145184,0.156992,0.924786,pass
varlen_causal_conv1d,lengths2048-1536-1024-512-D4096-W4-bf16,0.078208,0.089248,0.876300,pass
causal_conv1d_update,B32-D4096-W4-bf16,0.041488,0.053488,0.775651,pass
modern_flash_attention_forward,B2-H16-S2048-D128-fp16-causal,0.151680,0.280432,0.540880,pass
mamba3_siso_step,B32-HQK4-H16-DQK32-DV64-bf16,0.095712,0.090928,1.052613,pass
flash_attention_backward,B2-H16-S2048-D128-fp16-causal,,,,source_provider_jit_or_initial_launch_failed
moe_expert_projection,T2048-E8-top2-4096x14336-bf16,2.145120,2.506112,0.855955,pass
moe_splitk_expert_projection,T2048-E8-top2-4096x14336-bf16,2.142480,4.190640,0.511254,pass
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-bf16,0.015232,0.014864,1.024758,pass
mamba_state_passing,B1-C8-H32-state8192-fp32,0.013376,0.013440,0.995238,pass
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-bf16,0.038272,0.043552,0.878766,pass
mamba3_siso_forward,B1-S2048-HQK4-H16-DQK32-DV64-bf16,0.175936,0.158560,1.109586,pass
paged_gqa_decode,B16-QH32-KVH8-S8192-D128-page16-fp16,0.292256,0.285232,1.024626,pass
splitk_paged_attention,B16-QH32-KVH8-S8192-D128-page16-split8-fp16,0.292640,0.779232,0.375549,pass
paged_mla_decode,B8-QH128-KVH1-S8192-C512-R64-page16-fp16,0.250176,0.362736,0.689692,pass
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks32x128,0.074144,0.086880,0.853407,pass
flaggems_conv1d,B64-L16384-K5-fp16-same,0.009760,0.094464,0.103320,pass
flaggems_triangular_solve,B4096-N16-fp32-lower,0.041376,0.037984,1.089301,pass
flaggems_embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.090144,0.095200,0.946891,pass
flaggems_roll,8192x4096-fp16-shift-1-axis0,0.049920,0.049968,0.999039,pass
flaggems_transpose_copy,4093x8191-fp16,0.081600,0.278640,0.292851,pass
flaggems_batch_norm_training,B32-C64-S4096-fp16,0.050448,0.041936,1.202976,pass
flaggems_group_norm_backward,B32-C256-S1024-G32-fp16,0.045536,0.050720,0.897792,pass
flaggems_logsumexp,8192x8192-fp32,0.098720,0.102864,0.959714,pass
flaggems_softmax_backward,4096x4097-fp32,0.092768,0.084016,1.104171,pass
flaggems_fused_adamw,N8388608-fp32,0.081632,0.082560,0.988760,pass
flaggems_addcmul,B64-C128-L4096-bf16,0.050048,0.066080,0.757385,pass
flaggems_fp8_mqa_logits,Q256-K4096-H32-D128-e4m3,0.051280,0.050720,1.011041,pass
flaggems_cumsum,8192x8192-fp32-axis1,0.181216,0.181280,0.999647,pass
flaggems_histogram,N8388608-bins256-fp32,2.166464,2.167840,0.999365,pass
flaggems_max_pool2d_with_indices,B8-C32-H128-W128-K3-S2-P1-fp16,0.017440,0.018304,0.952797,pass
legacy_flash_attention_bias,B4-H32-S4096-D128-fp16-vector-bias,,,,source_compatibility_gap
