algorithm_group,kernel,case,triton_scope,triton_status,triton_p50_ms,triton_p95_ms,triton_source_p50_ms,triton_source_p95_ms,cutile_scope,cutile_status,cutile_p50_ms,cutile_p95_ms,cutile_source_p50_ms,cutile_source_p95_ms,tilelang_scope,tilelang_status,tilelang_p50_ms,tilelang_p95_ms,tilelang_source_p50_ms,tilelang_source_p95_ms
normalization/softmax-rowwise,softmax,default,K,pass,0.1816,0.1827,0.1886,0.1917,K,pass,0.2010,0.2047,0.1926,0.1955,K,pass,0.1825,0.1835,,
normalization/softmax-rowwise,softmax_backward,default,K,pass,0.1018,0.1045,0.0906,0.0924,K,pass,0.0781,0.0794,,,K,pass,0.1106,0.1112,,
normalization/softmax-online,online_softmax,default,K,pass,0.1821,0.1850,,,K,pass,0.2983,0.3210,,,K,pass,0.1844,0.1852,0.1826,0.1834
normalization/softmax-online,variant_softmax_online,default,K,pass,0.1823,0.1829,,,K,pass,0.3210,0.3336,,,K,pass,0.2680,0.2741,,
normalization/softmax-online,variant_online_softmax_inline,default,K,pass,0.1821,0.1830,,,K,pass,0.3143,0.3277,,,K,pass,0.2541,0.2665,,
normalization/layer-norm,layer_norm,default,K,pass,0.0946,0.0954,0.0954,0.0961,K,pass,0.0964,0.0981,0.4544,0.4558,K,pass,0.0943,0.0951,,
normalization/layer-norm,layer_norm_backward,default,E,pass,0.0708,0.0753,0.0858,0.0879,E,unsupported,,,,,E,pass,0.1798,0.1817,,
normalization/layer-norm,variant_layer_norm_second_moment,default,K,pass,0.0946,0.0954,,,K,pass,0.0960,0.0992,,,K,pass,0.0940,0.0948,,
normalization/rms-norm,rms_norm,default,K,pass,0.0932,0.0939,0.0941,0.0947,K,pass,0.0945,0.0951,,,K,pass,0.0934,0.0940,,
normalization/rms-norm,fused_add_rms_norm,default,K,pass,0.0936,0.0943,0.0941,0.0950,K,pass,0.0954,0.0960,,,K,pass,0.0938,0.0946,,
normalization/rms-norm,dropout_residual_rms_norm,default,E,pass,0.1205,0.1221,,,E,pass,0.1246,0.1259,,,E,pass,0.1194,0.1205,,
normalization/batch-norm,batch_norm_training,default,K,pass,0.0547,0.0570,0.0419,0.0446,K,pass,0.0426,0.0481,,,K,pass,0.0303,0.0309,,
normalization/group-norm,group_norm_silu_backward,default,E,pass,0.0511,0.0539,,,E,pass,0.0535,0.0556,,,E,pass,0.0525,0.0541,,
normalization/group-norm,group_norm_backward,default,E,pass,0.0554,0.0599,0.0707,0.1981,E,pass,0.0512,0.0550,,,E,pass,0.0438,0.0447,,
loss/logsumexp,logsumexp,default,K,pass,0.0988,0.0994,0.1017,0.1033,K,pass,0.1071,0.1097,,,K,pass,0.0987,0.0995,,
loss/cross-entropy,cross_entropy,default,K,pass,0.1930,0.2038,0.2170,0.2207,K,pass,0.3833,0.3849,,,K,pass,0.2905,0.2914,,
activation/swiglu,swiglu_forward,default,K,pass,0.1228,0.1241,0.1210,0.1224,K,pass,0.1476,0.1488,0.1334,0.1367,K,pass,0.1570,0.1585,,
activation/swiglu,swiglu_backward,default,K,pass,0.0619,0.0628,0.0614,0.0621,K,pass,0.0647,0.0653,,,K,pass,0.0629,0.0638,,
activation/swiglu,variant_swiglu_helper,default,K,pass,0.1230,0.1243,,,K,pass,0.1499,0.1532,,,K,pass,0.1584,0.1612,,
contraction/dense,gemm,base,K,pass,1.3160,1.3570,1.3117,1.3595,K,pass,1.3704,1.5094,1.3232,1.3887,K,pass,1.4680,1.5036,2.1684,2.2002
contraction/dense,gemm,tail,K,pass,1.7722,1.9275,,,K,pass,1.4008,1.4200,,,K,pass,1.8731,2.2843,,
contraction/dense,bf16_gemm,default,K,pass,1.2017,1.2426,,,K,pass,1.1604,1.3003,1.7064,2.1469,K,pass,1.3434,1.3949,2.0487,2.0852
contraction/dense,batched_gemm,NN,K,pass,0.0478,0.0492,,,K,pass,0.0481,0.0497,0.0531,0.0546,K,pass,0.0623,0.0635,,
contraction/dense,batched_gemm,TN,K,pass,0.0504,0.0517,,,K,pass,0.0411,0.0423,0.0540,0.0553,K,pass,0.0606,0.0615,,
contraction/dense,batched_gemm,NT,K,pass,0.0506,0.0519,,,K,pass,0.0492,0.0505,0.0539,0.0552,K,pass,0.0637,0.0647,,
contraction/dense,batched_gemm,TT,K,pass,0.0536,0.0548,,,K,pass,0.0484,0.0496,0.0535,0.0566,K,pass,0.0628,0.0640,,
contraction/dense,dual_gemm,default,E,pass,0.5212,0.5436,,,E,pass,0.4266,0.5008,,,E,pass,0.4170,0.4262,,
contraction/dense,variant_gemm_loop_interchange,default,K,pass,1.3210,1.3470,,,K,pass,1.3981,1.4111,,,K,pass,1.4675,1.4898,,
contraction/low-precision,quantized_gemm,default,K,pass,1.5609,1.6345,,,K,pass,1.3414,1.7047,,,K,pass,1.5869,1.6077,,
contraction/low-precision,weight_only_int4,signed_w4,K,pass,0.0714,0.0735,,,K,pass,0.1633,0.1653,,,K,pass,0.1091,0.1103,,
contraction/low-precision,w4a8_packed,default,K,pass,0.1534,0.1562,,,K,pass,0.3166,0.3188,,,K,pass,0.0986,0.0994,0.1579,0.1597
contraction/low-precision,block_scaled_matmul,default,K,pass,0.0170,0.0178,,,K,unsupported,,,,,K,pass,0.0278,0.0288,,
contraction/low-precision,fp8_gemm,e4m3,K,pass,0.0096,0.0101,,,K,pass,0.0093,0.0101,,,K,pass,0.0131,0.0140,0.0135,0.0142
contraction/low-precision,fp8_gemm,e5m2,K,pass,0.0099,0.0103,,,K,pass,0.0098,0.0101,,,K,pass,0.0134,0.0143,0.0135,0.0142
contraction/low-precision,sparse_2to4_gemm,default,K,unsupported,,,,,K,unsupported,,,,,K,pass,0.1693,0.1712,0.2616,0.2642
convolution/direct,conv1d,default,K,pass,0.0079,0.0084,0.0931,0.0937,K,pass,0.0220,0.0228,,,K,pass,0.0099,0.0108,,
