kernel,case,triton_scope,triton_status,triton_p50_ms,triton_p95_ms,triton_source_p50_ms,triton_source_p95_ms,cutile_scope,cutile_status,cutile_p50_ms,cutile_p95_ms,cutile_source_p50_ms,cutile_source_p95_ms,tilelang_scope,tilelang_status,tilelang_p50_ms,tilelang_p95_ms,tilelang_source_p50_ms,tilelang_source_p95_ms
softmax,default,K,pass,0.3523,0.3543,0.3661,0.3684,K,pass,0.3543,0.3595,0.3690,0.3709,K,pass,0.3537,0.3564,0.3707,0.3756
layer_norm,default,K,pass,0.1775,0.1786,0.1720,0.1741,K,pass,0.1762,0.1784,0.3461,0.3482,K,pass,0.1756,0.1783,,
layer_norm_backward,default,E,pass,0.0826,0.0887,0.3103,0.3331,E,pass,0.0891,0.0898,,,E,pass,0.1123,0.1142,,
embedding_backward_atomic,default,K,pass,0.1455,0.1476,,,K,pass,0.1449,0.1474,,,K,pass,0.1469,0.1480,,
atomic_compare_exchange,default,K,pass,0.0329,0.0349,,,K,pass,0.0343,0.0350,,,K,unsupported,,,,
rms_norm,default,K,pass,0.1742,0.1764,0.1741,0.1761,K,pass,0.1756,0.1783,,,E,pass,0.1734,0.1759,0.3494,0.3518
fused_add_rms_norm,default,K,pass,0.1756,0.1783,0.1770,0.1788,K,pass,0.1879,0.1907,,,K,pass,0.1783,0.1815,,
dropout_residual_rms_norm,default,E,pass,0.2188,0.2218,,,E,pass,0.2412,0.2431,,,E,pass,0.2192,0.2215,,
logsumexp,default,K,pass,0.1797,0.1824,,,K,pass,0.1958,0.1970,,,K,pass,0.1757,0.1787,,
cross_entropy,default,E,pass,0.5137,0.5158,0.3410,0.3453,E,pass,0.5108,0.5198,,,E,pass,0.5095,0.5135,,
gemm,base,K,pass,2.0894,2.0941,2.0506,2.0757,K,pass,2.0674,2.0695,2.2498,2.2559,K,pass,2.1181,2.1243,2.3229,2.3281
gemm,tail,K,pass,2.0957,2.1172,,,K,pass,2.0421,2.0727,,,K,pass,2.1325,2.1432,,
bf16_gemm,default,K,pass,2.0354,2.0555,,,K,pass,2.0106,2.0383,2.2036,2.2119,K,pass,2.0735,2.0955,2.2766,2.2831
batched_gemm,NN,K,pass,0.1081,0.1101,,,K,pass,0.0922,0.0944,0.0922,0.0922,K,pass,0.1075,0.1089,,
batched_gemm,TN,K,pass,0.1208,0.1223,,,K,pass,0.0936,0.0942,0.0922,0.0942,K,pass,0.1085,0.1106,,
batched_gemm,NT,K,pass,0.1019,0.1045,,,K,pass,0.1037,0.1046,0.0922,0.0922,K,pass,0.1061,0.1082,,
batched_gemm,TT,K,pass,0.1372,0.1393,,,K,pass,0.1162,0.1210,0.0918,0.0938,K,pass,0.1085,0.1088,,
batched_row_affine,default,K,pass,0.0997,0.1012,,,K,pass,0.1019,0.1044,,,K,pass,0.0998,0.1018,,
quantized_gemm,default,K,pass,2.1158,2.1243,,,K,pass,2.1629,2.1876,,,K,pass,2.1616,2.1919,,
dual_gemm,default,E,pass,0.6912,0.6929,0.7752,0.7780,E,pass,0.6847,0.6868,0.8095,0.8126,E,pass,0.7383,0.7405,0.9236,0.9263
weight_only_int4,signed_w4,K,pass,0.0582,0.0611,,,K,pass,0.0626,0.0647,,,K,pass,0.1899,0.1904,,
conv1d,default,K,pass,0.0061,0.0082,,,K,pass,0.0164,0.0164,,,K,pass,0.0082,0.0089,,
conv2d,default,K,pass,0.0512,0.0532,,,K,pass,0.0532,0.0534,,,K,unsupported,,,,
selective_scan,default,K,pass,0.1614,0.1627,,,K,pass,0.1163,0.1166,,,K,pass,0.1196,0.1205,,
attention,default,K,pass,4.9644,4.9684,4.9526,4.9633,K,pass,5.0207,5.0258,4.7954,4.8122,K,pass,4.8624,4.8716,6.6883,6.7104
attention_bias,default,K,pass,5.0156,5.0375,7.0369,7.0718,K,pass,5.4400,5.4560,,,K,pass,5.0011,5.0258,,
varlen_attention,noncausal,R,pass,0.3939,0.3989,,,R,pass,0.3836,0.3867,,,R,pass,0.4967,0.5020,,
varlen_attention,causal,R,pass,0.2966,0.3016,,,R,pass,0.2750,0.2773,,,R,pass,0.3512,0.3563,0.2535,0.2540
varlen_gqa_prefill,default,R,pass,5.2137,5.2291,,,R,pass,5.6817,5.7072,,,R,pass,9.7634,9.7758,6.3852,6.3903
varlen_gqa_rope_prefill,default,E,pass,5.7815,5.7993,,,E,pass,6.2760,6.2969,,,E,pass,10.2836,10.3247,,
paged_attention,default,K,pass,0.2247,0.2274,0.2949,0.2976,K,pass,0.3272,0.3299,,,K,unsupported,,,,
online_softmax,default,K,pass,0.3934,0.4035,0.3656,0.3686,K,pass,0.3579,0.3600,0.3697,0.3718,K,pass,0.3917,0.4077,0.3697,0.3748
ordered_prefix,default,K,pass,0.0396,0.0421,,,K,pass,0.0398,0.0406,,,K,pass,0.0194,0.0206,,
moe,default,E,pass,8.7211,8.7449,10.2094,10.3108,E,pass,10.0338,10.0785,9.6022,9.6810,E,pass,11.3538,11.4500,9.3524,9.4247
grouped_gemm,base,E,pass,1.4194,1.4352,1.8777,1.8951,E,pass,1.3400,1.3648,1.8613,1.8901,E,pass,1.2746,1.2868,1.4895,1.5018
grouped_gemm,tail,E,pass,1.4262,1.4352,,,E,pass,1.3482,1.3759,,,E,pass,1.2867,1.2982,,
grouped_gemm,empty_groups,E,pass,0.0865,0.0913,,,E,pass,0.0521,0.0567,,,E,pass,0.0473,0.0509,,
swiglu_forward,default,K,pass,0.2329,0.2357,0.2273,0.2294,K,pass,0.2437,0.2465,0.2447,0.2461,K,pass,0.2879,0.2910,,
swiglu_backward,default,K,pass,0.1140,0.1156,0.1094,0.1115,K,pass,0.1160,0.1183,,,K,pass,0.1121,0.1141,,
shifted_row_copy,default,K,pass,0.0217,0.0237,,,K,pass,0.0221,0.0242,,,K,pass,0.0220,0.0240,,
grouped_query_head_add,default,K,pass,0.0036,0.0056,,,K,pass,0.0035,0.0056,,,K,pass,0.0036,0.0049,,
scalar_table_lookup,default,K,pass,0.0431,0.0451,,,K,pass,0.0446,0.0455,,,K,pass,0.0430,0.0446,,
matrix_transpose,default,K,pass,0.0931,0.0944,,,K,pass,0.0941,0.0979,,,K,pass,0.0916,0.0938,,
boolean_reduction,default,K,pass,0.0057,0.0076,,,K,pass,0.0074,0.0084,,,K,pass,0.0055,0.0073,,
value_select,default,K,pass,0.0887,0.0905,,,K,pass,0.0894,0.0906,,,K,pass,0.0882,0.0916,,
record_fields,default,K,pass,0.0094,0.0106,,,K,pass,0.0098,0.0109,,,K,pass,0.0118,0.0125,,
scalar_while,default,K,pass,0.1229,0.1249,,,K,pass,0.1277,0.1293,,,K,pass,0.1224,0.1231,,
sorted_nucleus_cutoff,default,K,pass,0.0199,0.0225,,,K,pass,0.0241,0.0267,,,K,pass,0.0261,0.0270,,
insertion_top_k,default,K,pass,0.5235,0.5263,,,K,pass,0.4825,0.4866,,,K,pass,0.7081,0.7107,,
barrier_option,default,K,pass,0.9089,0.9120,,,K,pass,0.2406,0.2413,,,K,pass,1.1635,1.1670,,
bitonic_sort,default,K,pass,1.4050,1.4151,,,K,pass,0.7050,0.7070,,,K,pass,0.5720,0.5731,,
csr_spmv,default,K,pass,0.0570,0.0582,,,K,pass,0.0604,0.0619,,,K,pass,0.0563,0.0571,,
