kernel,case,generated_p50_ms,source_p50_ms,ratio,status,note
official_fmha,B4-QH32-KVH8-S4096-D128-fp16-causal,4.448160,36.421282,0.122131,pass,同算法；source 使用 FTZ 与近似除法
block_scaled_gemm,M4096-N14336-K4096-fp8-block32,1.062088,1.072520,0.990273,pass,
dense_gemm,M4096-N14336-K4096-fp16,2.074160,2.097128,0.989048,pass,
moe_expert_projection,T4096-E8-top2-4096x14336-bf16,4.390944,6.193544,0.708955,pass,同算法；source 使用预计算 block ownership
layer_norm,8192x4096-bf16,0.086488,0.264288,0.327249,pass,同算法；source 额外写 Mean/Rstd
silu_and_mul,4096x28672-to14336-bf16,0.227024,0.245008,0.926598,pass,同算法；source 使用 FTZ 与近似除法
attention_backward,B2-QH8-KVH2-S1024-D64-fp16-causal,0.123144,0.178792,0.688756,pass,同算法；中间精度和舍入不同
dense_attention_forward,B2-QH32-KVH8-S4096-D128-bf16-causal,1.334816,1.285352,1.038483,pass,同算法；source 使用 FTZ 与近似除法
grouped_flash_decode,B8-QH32-KVH8-S8192-D128-bf16,0.185856,0.187912,0.989059,pass,同算法；source 使用 FTZ 与近似除法
swiglu,8192x14336-bf16,0.451352,0.464688,0.971301,pass,同算法；source 使用 FTZ 与近似除法
splitk_attention_reduce,B8-H32-S8192-splits16-D128,0.004280,0.005936,0.721024,pass,
mla_prefill,B1-QH128-KVH1-S2048-D128-R64-fp16,0.958240,0.944704,1.014328,pass,同算法；source 使用 FTZ 与近似除法
batched_gemm,B32-M512-N512-K1024-bf16,0.091904,0.091936,0.999652,pass,
tilegym_dense_gemm,M8192-N11008-K4096-bf16,3.121920,3.171448,0.984383,pass,
grouped_gemm,rows256-512-1024-2048-K4096-N4096-bf16,0.650184,0.643184,1.010883,pass,同算法；source 使用 host group shapes
moe_alignment,T4096-top2-E64,0.018432,0.036864,0.500000,pass,同算法计数/前缀和/散射；初始化与辅助输出计入调用
mhc_gemm_rms_scale,T2048-H4096-streams4-bf16,0.071680,0.077824,0.921053,pass,同算法；source 用乘倒数实现归一化
chunked_softmax,8192x32768-bf16,0.765752,0.853696,0.896984,pass,
rope_qk,B2-S4096-QH32-KVH8-D128-bf16,0.115776,0.121648,0.951730,pass,同算法；source 保留 bf16 中间舍入
gelu,8192x4096-fp16-tanh,0.087856,0.087944,0.998999,pass,同算法；source 保留 f16 中间舍入
geglu,4096x28672-fp16-tanh,0.227024,0.225312,1.007598,pass,同算法；source 保留 f16 中间舍入
relu,8192x4096-fp16,0.087856,0.087856,1.000000,pass,同算法；NaN 传播方式不同
dropout,8192x4096-fp16-p0.1,0.087760,0.088304,0.993839,pass,
attention_sink_prefill,B1-S4096-QH32-KVH8-D128-bf16,0.728304,0.796688,0.914165,pass,同算法；source 的布局转换与辅助工作计入其调用时间
attention_sink_decode,B32-S8192-QH32-KVH8-D128-bf16,0.771560,2.081792,0.370623,pass,同算法；source 使用 bf16 LSE 与近似除法
mhc_apply_residual,T2048-H4096-streams4-bf16,0.100080,0.108176,0.925159,pass,同算法；source 保留 bf16 中间累加
gemma_prefill,B2-S4096-QH32-KVH8-D128-window1024-cap50-bf16,0.608456,0.593568,1.025082,pass,同算法；中间精度和舍入不同
gemma_decode,B32-S8192-QH32-KVH8-D128-window1024-cap50-bf16,0.106464,0.698400,0.152440,pass,同算法；中间精度和舍入不同
mhc_sinkhorn,T8192-streams4-fp32,0.018880,0.018416,1.025195,pass,同算法；source 用 exp2(x * log2(e)) 实现 exp
absorbed_mla_decode,B8-H64-S8192-C512-R64-fp16,1.156320,2.063136,0.560467,pass,同算法；source 使用近似除法并额外输出 LSE
splitk_mla_decode,B8-H64-S8192-C512-R64-split512-fp16,0.214544,0.329696,0.650733,pass,同算法；source 使用 FTZ 与近似除法
sparse_mla_prefill,S2048-SKV4096-H64-topk512-D128-R64-bf16,0.998648,33.752392,0.029587,pass,同算法；source 使用 FTZ 与近似除法
sliding_window_attention,B2-S4096-QH32-KVH8-D128-window1024-fp16,0.621600,0.834072,0.745259,pass,同算法；source 的布局转换与辅助工作计入其调用时间
rms_norm,8192x4096-bf16,0.087824,0.086824,1.011518,pass,同算法；source 额外写 Rstd
recurrent_gated_delta,B2-S2048-H8-K128-V128-bf16,0.787256,0.936160,0.840942,pass,
chunk_gated_delta,B2-S2048-H8-K128-V128-C64-bf16,0.227376,1.550952,0.146604,pass,同算法；generated 使用 BF16 矩阵输入、FP32 累加与状态，source 使用 TF32 矩阵输入
nvfp4_quantize,8192x4096-block16-bf16,0.059152,0.058032,1.019300,pass,同算法、group16；CUDA Graph 重放下的算子 GPU 执行延迟，不含编译、调优与输出分配
