kernel,case,generated_p50_ms,source_p50_ms,ratio,status,note
fused_softmax,8192x8192-fp16,0.173872,0.188120,0.924261,pass,
dense_gemm,M4096-N14336-K4096-fp16,2.055952,2.083600,0.986731,pass,
grouped_gemm,E8-M1024-K4096-N14336-fp16,4.235672,4.592976,0.922206,pass,
flash_attention_forward,B4-H32-S4096-D128-fp16-causal,2.763520,2.777256,0.995054,source_abi_gap,
layer_norm,8192x4096-fp16,0.085776,0.089840,0.954764,pass,
flash_cross_entropy,8192x32768-bf16,0.342304,0.345088,0.991932,pass,
flash_layer_norm,8192x4096-bf16,0.087072,0.086216,1.009929,pass,
rotary_embedding,B4-S4096-H32-D128-bf16,0.179984,0.180016,0.999822,pass,
swiglu,8192x14336-bf16,0.453408,0.451256,1.004769,pass,
embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.172304,0.173856,0.991073,pass,
cross_entropy,8192x32768-bf16,0.685344,0.686624,0.998136,pass,
padded_rope_cache_update,B32-QH32-KVH8-D128-cache8192-fp16,0.005424,0.005480,0.989781,pass,
fused_add_rms_norm,8192x4096-bf16,0.174656,0.175904,0.992905,pass,
rms_norm,8192x4096-bf16,0.090824,0.086352,1.051788,pass,
xformers_rms_norm,8192x4096-bf16,0.075568,0.085808,0.880664,pass,
qkv_projection_pipeline,M4096-K4096-QKV4096-fp16,1.792264,1.963744,0.912677,pass,
index_select,source65536-selected32768-hidden4096-fp16,0.354096,0.366336,0.966588,pass,
scaled_index_add,destination65536-routed32768-hidden4096-fp16,0.520768,0.530096,0.982403,pass,
scaled_fp8_splitk_gemm,M4096-N14336-K4096-e4m3-split4,1.721952,2.548944,0.675555,pass,
jagged_mean,B512-T33024-D128-fp32,0.016176,0.018208,0.888401,pass,
fp8_groupwise_quantize,8192x4096-group128-bf16-e4m3,0.122656,0.124704,0.983577,pass,
rope_qk,B4-S4096-QH32-KVH8-D128-fp16,0.229600,0.438880,0.523150,pass,
causal_conv1d,B4-C4096-S4096-W4-bf16-silu,0.176944,0.192816,0.917683,pass,
varlen_causal_conv1d,lengths2048-1536-1024-512-D4096-W4-bf16,0.057344,0.057600,0.995556,pass,
causal_conv1d_update,B32-D4096-W4-bf16,0.005640,0.006112,0.922775,pass,
modern_flash_attention_forward,B2-H16-S2048-D128-fp16-causal,,,,generated_provider_jit_or_initial_launch_timeout,exceeded 300 seconds
mamba3_siso_step,B32-HQK4-H16-DQK32-DV64-bf16,0.008688,0.008208,1.058480,source_semantics_gap,
flash_attention_backward,B2-H16-S2048-D128-fp16-causal,,,,source_device_resource_gap,
moe_expert_projection,T2048-E8-top2-4096x14336-bf16,2.433064,2.392576,1.016922,pass,
moe_splitk_expert_projection,T2048-E8-top2-4096x14336-bf16,2.453416,3.403488,0.720853,pass,
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-bf16,0.014128,0.014144,0.998869,pass,
mamba_state_passing,B1-C8-H32-state8192-fp32,0.012080,0.012112,0.997358,pass,
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-bf16,0.040752,0.045872,0.888385,pass,
mamba3_siso_forward,B1-S2048-HQK4-H16-DQK32-DV64-bf16,0.153080,0.225744,0.678113,source_semantics_gap,
paged_gqa_decode,B16-QH32-KVH8-S8192-D128-page16-fp16,0.362416,0.424432,0.853885,pass,
splitk_paged_attention,B16-QH32-KVH8-S8192-D128-page16-split8-fp16,0.360448,0.451584,0.798186,pass,
paged_mla_decode,B8-QH128-KVH1-S8192-C512-R64-page16-fp16,0.407792,0.379360,1.074947,source_abi_gap,
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks32x128,0.094224,0.092176,1.022218,source_abi_gap,
flaggems_conv1d,B64-L16384-K5-fp16-same,0.007968,0.057136,0.139457,pass,
flaggems_triangular_solve,B4096-N16-fp32-lower,0.027072,0.028864,0.937916,pass,
flaggems_embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.171824,0.174248,0.986089,pass,
flaggems_roll,8192x4096-fp16-shift-1-axis0,0.087856,0.087840,1.000182,pass,
flaggems_transpose_copy,4093x8191-fp16,0.104240,0.309024,0.337320,pass,
flaggems_batch_norm_training,B32-C64-S4096-fp16,0.026624,0.026528,1.003619,pass,
flaggems_group_norm_backward,B32-C256-S1024-G32-fp16,0.046848,0.055072,0.850668,pass,
flaggems_logsumexp,8192x8192-fp32,0.178928,0.175936,1.017006,pass,
flaggems_softmax_backward,4096x4097-fp32,0.122592,0.159536,0.768428,pass,
flaggems_fused_adamw,N8388608-fp32,0.150528,0.157696,0.954546,pass,
flaggems_addcmul,B64-C128-L4096-bf16,0.087728,0.086320,1.016311,pass,
flaggems_fp8_mqa_logits,Q256-K4096-H32-D128-e4m3,0.042800,0.087600,0.488584,pass,
flaggems_cumsum,8192x8192-fp32-axis1,0.351920,0.351888,1.000091,pass,
flaggems_histogram,N8388608-bins256-fp32,1.099184,1.242576,0.884601,pass,
flaggems_max_pool2d_with_indices,B8-C32-H128-W128-K3-S2-P1-fp16,0.014112,0.020256,0.696682,pass,
legacy_flash_attention_bias,B4-H32-S4096-D128-fp16-vector-bias,,,,source_compatibility_gap,
