kernel,case,generated_p50_ms,source_p50_ms,ratio,status
fused_softmax,8192x8192-fp16,0.121240,0.119936,1.010872,pass
dense_gemm,M4096-N14336-K4096-fp16,1.349544,1.380952,0.977256,pass
grouped_gemm,E8-M1024-K4096-N14336-fp16,,,,worker_timeout
flash_attention_forward,B4-H32-S4096-D128-fp16-causal,4.048656,1.783280,2.270342,pass
layer_norm,8192x4096-fp16,0.050696,0.057904,0.875518,pass
flash_cross_entropy,8192x32768-bf16,0.246568,0.252880,0.975039,pass
flash_layer_norm,8192x4096-bf16,0.050936,0.052168,0.976384,pass
rotary_embedding,B4-S4096-H32-D128-bf16,0.113176,0.098432,1.149789,pass
swiglu,8192x14336-bf16,0.238448,0.236528,1.008117,pass
embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.091848,0.089616,1.024906,pass
cross_entropy,8192x32768-bf16,0.730928,0.725008,1.008165,pass
padded_rope_cache_update,B32-QH32-KVH8-D128-cache8192-fp16,0.005808,0.005904,0.983740,pass
fused_add_rms_norm,8192x4096-bf16,0.101656,0.094712,1.073317,pass
rms_norm,8192x4096-bf16,0.050080,0.050256,0.996498,pass
xformers_rms_norm,8192x4096-bf16,0.051376,0.049648,1.034805,pass
qkv_projection_pipeline,M4096-K4096-QKV4096-fp16,,,,worker_timeout
index_select,source65536-selected32768-hidden4096-fp16,0.220272,0.221696,0.993577,pass
scaled_index_add,destination65536-routed32768-hidden4096-fp16,0.299720,0.301352,0.994584,pass
scaled_fp8_splitk_gemm,M4096-N14336-K4096-e4m3-split4,3.214872,3.467312,0.927194,pass
jagged_mean,B512-T33024-D128-fp32,0.014800,0.015552,0.951646,pass
fp8_groupwise_quantize,8192x4096-group128-bf16-e4m3,0.163056,0.163024,1.000196,pass
rope_qk,B4-S4096-QH32-KVH8-D128-fp16,0.122248,0.402840,0.303465,pass
causal_conv1d,B4-C4096-S4096-W4-bf16-silu,0.157424,0.159696,0.985773,pass
varlen_causal_conv1d,lengths2048-1536-1024-512-D4096-W4-bf16,0.046768,0.049536,0.944121,pass
causal_conv1d_update,B32-D4096-W4-bf16,0.006040,0.005408,1.116864,pass
modern_flash_attention_forward,B2-H16-S2048-D128-fp16-causal,0.393176,0.276712,1.420885,pass
mamba3_siso_step,B32-HQK4-H16-DQK32-DV64-bf16,0.035544,0.030656,1.159447,pass
flash_attention_backward,B2-H16-S2048-D128-fp16-causal,,,,worker_timeout
moe_expert_projection,T2048-E8-top2-4096x14336-bf16,2.578520,2.634624,0.978705,pass
moe_splitk_expert_projection,T2048-E8-top2-4096x14336-bf16,7.184000,4.243592,1.692905,pass
mamba_chunk_state,B1-S2048-H32-G8-P64-N128-C256-bf16,0.017792,0.014960,1.189305,pass
mamba_state_passing,B1-C8-H32-state8192-fp32,0.013392,0.013504,0.991706,pass
mamba_chunk_scan,B1-S2048-H32-G8-P64-N128-C256-bf16,0.035920,0.043488,0.825975,pass
mamba3_siso_forward,B1-S2048-HQK4-H16-DQK32-DV64-bf16,0.236904,0.182272,1.299728,pass
paged_gqa_decode,B16-QH32-KVH8-S8192-D128-page16-fp16,0.346568,0.304456,1.138319,pass
splitk_paged_attention,B16-QH32-KVH8-S8192-D128-page16-split8-fp16,0.362176,0.797264,0.454274,pass
paged_mla_decode,B8-QH128-KVH1-S8192-C512-R64-page16-fp16,0.663080,0.362472,1.829327,pass
block_sparse_gqa_decode,B8-QH32-KVH8-S8192-D128-blocks32x128,0.085160,0.061768,1.378707,pass
flaggems_conv1d,B64-L16384-K5-fp16-same,0.008064,0.094512,0.085323,pass
flaggems_triangular_solve,B4096-N16-fp32-lower,0.018400,0.039472,0.466153,pass
flaggems_embedding_lookup,tokens16384-vocab32768-hidden4096-bf16,0.095296,0.095232,1.000672,pass
flaggems_roll,8192x4096-fp16-shift-1-axis0,0.049568,0.050056,0.990251,pass
flaggems_transpose_copy,4093x8191-fp16,0.278232,0.279400,0.995820,pass
flaggems_batch_norm_training,B32-C64-S4096-fp16,0.031392,0.024808,1.265398,pass
flaggems_group_norm_backward,B32-C256-S1024-G32-fp16,0.046656,0.051344,0.908694,pass
flaggems_logsumexp,8192x8192-fp32,0.099184,0.111528,0.889319,pass
flaggems_softmax_backward,4096x4097-fp32,0.089944,0.092120,0.976379,pass
flaggems_fused_adamw,N8388608-fp32,0.083280,0.082992,1.003470,pass
flaggems_addcmul,B64-C128-L4096-bf16,0.052648,0.069488,0.757656,pass
flaggems_fp8_mqa_logits,Q256-K4096-H32-D128-e4m3,0.041736,0.051304,0.813504,pass
flaggems_cumsum,8192x8192-fp32-axis1,0.182048,0.182144,0.999473,pass
flaggems_histogram,N8388608-bins256-fp32,,,,candidate_contract_failed
flaggems_max_pool2d_with_indices,B8-C32-H128-W128-K3-S2-P1-fp16,0.016736,0.018256,0.916740,pass
legacy_flash_attention_bias,B4-H32-S4096-D128-fp16-vector-bias,,,,source_compatibility_gap
